,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,opinion_id,text,target,category,polarity,ote_start,ote_stop,ote,entity,attribute,text_cln,text_cln_lm,text_ints,target_seq,POS_tag_lists,POS_int_lists
899,899,899,899,900,1615322:5:0,it is a rather cramped and busy restaurant and it closes early.,restaurant,RESTAURANT#MISCELLANEOUS,negative,31.0,41.0,restaurant,RESTAURANT,MISCELLANEOUS,"['it', 'is', 'a', 'rather', 'cramped', 'and', 'busy', 'restaurant', 'and', 'it', 'closes', 'early']","['it', 'be', 'a', 'rather', 'cramp', 'and', 'busy', 'restaurant', 'and', 'it', 'close', 'early']","[12, 3, 5, 328, 553, 4, 545, 36, 4, 12, 408, 1031]",['restaurant'],"['PRP', 'VBZ', 'DT', 'RB', 'JJ', 'CC', 'JJ', 'NN', 'CC', 'PRP', 'VBZ', 'RB']","[7, 11, 3, 5, 2, 6, 2, 1, 6, 7, 11, 5]"
900,900,900,900,901,1615322:5:1,it is a rather cramped and busy restaurant and it closes early.,restaurant,AMBIENCE#GENERAL,negative,31.0,41.0,restaurant,AMBIENCE,GENERAL,"['it', 'is', 'a', 'rather', 'cramped', 'and', 'busy', 'restaurant', 'and', 'it', 'closes', 'early']","['it', 'be', 'a', 'rather', 'cramp', 'and', 'busy', 'restaurant', 'and', 'it', 'close', 'early']","[12, 3, 5, 328, 553, 4, 545, 36, 4, 12, 408, 1031]",['restaurant'],"['PRP', 'VBZ', 'DT', 'RB', 'JJ', 'CC', 'JJ', 'NN', 'CC', 'PRP', 'VBZ', 'RB']","[7, 11, 3, 5, 2, 6, 2, 1, 6, 7, 11, 5]"
901,901,901,901,902,1623276:0:0,Patroon features a nice cigar bar and has great staff.,cigar bar,AMBIENCE#GENERAL,positive,24.0,33.0,cigar bar,AMBIENCE,GENERAL,"['patroon', 'features', 'a', 'nice', 'cigar', 'bar', 'and', 'has', 'great', 'staff']","['patroon', 'feature', 'a', 'nice', 'cigar', 'bar', 'and', 'have', 'great', 'staff']","[1625, 1255, 5, 67, 1626, 176, 4, 8, 17, 52]","['cigar', 'bar']","['NN', 'VBZ', 'DT', 'JJ', 'NN', 'NN', 'CC', 'VBZ', 'JJ', 'NN']","[1, 11, 3, 2, 1, 1, 6, 11, 2, 1]"
902,902,902,902,903,1623276:0:1,Patroon features a nice cigar bar and has great staff.,staff,SERVICE#GENERAL,positive,48.0,53.0,staff,SERVICE,GENERAL,"['patroon', 'features', 'a', 'nice', 'cigar', 'bar', 'and', 'has', 'great', 'staff']","['patroon', 'feature', 'a', 'nice', 'cigar', 'bar', 'and', 'have', 'great', 'staff']","[1625, 1255, 5, 67, 1626, 176, 4, 8, 17, 52]",['staff'],"['NN', 'VBZ', 'DT', 'JJ', 'NN', 'NN', 'CC', 'VBZ', 'JJ', 'NN']","[1, 11, 3, 2, 1, 1, 6, 11, 2, 1]"
903,903,903,903,904,1623276:1:0,The food is tasty and portion sizes are appropriate.,food,FOOD#QUALITY,positive,4.0,8.0,food,FOOD,QUALITY,"['the', 'food', 'is', 'tasty', 'and', 'portion', 'sizes', 'are', 'appropriate']","['the', 'food', 'be', 'tasty', 'and', 'portion', 'size', 'be', 'appropriate']","[2, 9, 3, 114, 4, 161, 381, 3, 1032]",['food'],"['DT', 'NN', 'VBZ', 'JJ', 'CC', 'NN', 'NNS', 'VBP', 'JJ']","[3, 1, 11, 2, 6, 1, 10, 12, 2]"
904,904,904,904,905,1623276:1:1,The food is tasty and portion sizes are appropriate.,portion sizes,FOOD#STYLE_OPTIONS,positive,22.0,35.0,portion sizes,FOOD,STYLE_OPTIONS,"['the', 'food', 'is', 'tasty', 'and', 'portion', 'sizes', 'are', 'appropriate']","['the', 'food', 'be', 'tasty', 'and', 'portion', 'size', 'be', 'appropriate']","[2, 9, 3, 114, 4, 161, 381, 3, 1032]","['portion', 'size']","['DT', 'NN', 'VBZ', 'JJ', 'CC', 'NN', 'NNS', 'VBP', 'JJ']","[3, 1, 11, 2, 6, 1, 10, 12, 2]"
905,905,905,905,906,1623276:2:0,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,restaurant,RESTAURANT#MISCELLANEOUS,positive,15.0,25.0,restaurant,RESTAURANT,MISCELLANEOUS,"['this', 'is', 'a', 'nice', 'restaurant', 'if', 'you', 'are', 'looking', 'for', 'a', 'good', 'place', 'to', 'host', 'an', 'intimate', 'dinner', 'meeting', 'with', 'business', 'associates']","['this', 'be', 'a', 'nice', 'restaurant', 'if', 'you', 'be', 'look', 'for', 'a', 'good', 'place', 'to', 'host', 'an', 'intimate', 'dinner', 'meet', 'with', 'business', 'associate']","[21, 3, 5, 67, 36, 42, 16, 3, 127, 14, 5, 20, 22, 7, 486, 58, 397, 107, 831, 23, 557, 2199]",['restaurant'],"['DT', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'PRP', 'VBP', 'VBG', 'IN', 'DT', 'JJ', 'NN', 'TO', 'VB', 'DT', 'JJ', 'NN', 'NN', 'IN', 'NN', 'NNS']","[3, 11, 3, 2, 1, 4, 7, 12, 18, 4, 3, 2, 1, 14, 9, 3, 2, 1, 1, 4, 1, 10]"
906,906,906,906,907,1623276:3:0,Not a great place for family or general dining.,place,RESTAURANT#MISCELLANEOUS,negative,12.0,17.0,place,RESTAURANT,MISCELLANEOUS,"['not', 'a', 'great', 'place', 'for', 'family', 'or', 'general', 'dining']","['not', 'a', 'great', 'place', 'for', 'family', 'or', 'general', 'din']","[13, 5, 17, 22, 14, 228, 44, 1627, 198]",['place'],"['RB', 'DT', 'JJ', 'NN', 'IN', 'NN', 'CC', 'JJ', 'NN']","[5, 3, 2, 1, 4, 1, 6, 2, 1]"
907,907,907,907,908,1626564:0:0,LLOOVVE THIS PLACE.,PLACE,RESTAURANT#GENERAL,positive,13.0,18.0,PLACE,RESTAURANT,GENERAL,"['lloovve', 'this', 'place']","['lloovve', 'this', 'place']","[2200, 21, 22]",['place'],"['VB', 'DT', 'NN']","[9, 3, 1]"
908,908,908,908,909,1626564:1:0,Food is excellent.,Food,FOOD#QUALITY,positive,0.0,4.0,Food,FOOD,QUALITY,"['food', 'is', 'excellent']","['food', 'be', 'excellent']","[9, 3, 56]",['food'],"['NN', 'VBZ', 'JJ']","[1, 11, 2]"
909,909,909,909,910,1626564:2:0,Fish is so very fresh.,Fish,FOOD#QUALITY,positive,0.0,4.0,Fish,FOOD,QUALITY,"['fish', 'is', 'so', 'very', 'fresh']","['fish', 'be', 'so', 'very', 'fresh']","[116, 3, 31, 27, 84]",['fish'],"['NN', 'VBZ', 'RB', 'RB', 'JJ']","[1, 11, 5, 5, 2]"
910,910,910,910,911,1626564:3:0,Waitstaff are very friendly.,Waitstaff,SERVICE#GENERAL,positive,0.0,9.0,Waitstaff,SERVICE,GENERAL,"['waitstaff', 'are', 'very', 'friendly']","['waitstaff', 'be', 'very', 'friendly']","[594, 3, 27, 102]",['waitstaff'],"['NNS', 'VBP', 'RB', 'JJ']","[10, 12, 5, 2]"
911,911,911,911,912,1626564:4:0,Love YUKA.,YUKA,RESTAURANT#GENERAL,positive,5.0,9.0,YUKA,RESTAURANT,GENERAL,"['love', 'yuka']","['love', 'yuka']","[104, 1595]",['yuka'],"['NN', 'NN']","[1, 1]"
912,912,912,912,913,1632445:0:0,Mermaid Inn is an overall good restaurant with really good seafood.,seafood,FOOD#QUALITY,positive,59.0,66.0,seafood,FOOD,QUALITY,"['mermaid', 'inn', 'is', 'an', 'overall', 'good', 'restaurant', 'with', 'really', 'good', 'seafood']","['mermaid', 'inn', 'be', 'an', 'overall', 'good', 'restaurant', 'with', 'really', 'good', 'seafood']","[1628, 1629, 3, 58, 312, 20, 36, 23, 72, 20, 393]",['seafood'],"['NN', 'NN', 'VBZ', 'DT', 'JJ', 'JJ', 'NN', 'IN', 'RB', 'JJ', 'NN']","[1, 1, 11, 3, 2, 2, 1, 4, 5, 2, 1]"
913,913,913,913,914,1632445:0:1,Mermaid Inn is an overall good restaurant with really good seafood.,Mermaid Inn,RESTAURANT#GENERAL,positive,0.0,11.0,Mermaid Inn,RESTAURANT,GENERAL,"['mermaid', 'inn', 'is', 'an', 'overall', 'good', 'restaurant', 'with', 'really', 'good', 'seafood']","['mermaid', 'inn', 'be', 'an', 'overall', 'good', 'restaurant', 'with', 'really', 'good', 'seafood']","[1628, 1629, 3, 58, 312, 20, 36, 23, 72, 20, 393]","['mermaid', 'inn']","['NN', 'NN', 'VBZ', 'DT', 'JJ', 'JJ', 'NN', 'IN', 'RB', 'JJ', 'NN']","[1, 1, 11, 3, 2, 2, 1, 4, 5, 2, 1]"
914,914,914,914,915,1632445:1:0,The menu is limited but almost all of the dishes are excellent.,menu,FOOD#STYLE_OPTIONS,negative,4.0,8.0,menu,FOOD,STYLE_OPTIONS,"['the', 'menu', 'is', 'limited', 'but', 'almost', 'all', 'of', 'the', 'dishes', 'are', 'excellent']","['the', 'menu', 'be', 'limit', 'but', 'almost', 'all', 'of', 'the', 'dish', 'be', 'excellent']","[2, 73, 3, 403, 18, 448, 34, 11, 2, 62, 3, 56]",['menu'],"['DT', 'NN', 'VBZ', 'JJ', 'CC', 'RB', 'DT', 'IN', 'DT', 'NNS', 'VBP', 'JJ']","[3, 1, 11, 2, 6, 5, 3, 4, 3, 10, 12, 2]"
915,915,915,915,916,1632445:1:1,The menu is limited but almost all of the dishes are excellent.,dishes,FOOD#QUALITY,positive,42.0,48.0,dishes,FOOD,QUALITY,"['the', 'menu', 'is', 'limited', 'but', 'almost', 'all', 'of', 'the', 'dishes', 'are', 'excellent']","['the', 'menu', 'be', 'limit', 'but', 'almost', 'all', 'of', 'the', 'dish', 'be', 'excellent']","[2, 73, 3, 403, 18, 448, 34, 11, 2, 62, 3, 56]",['dish'],"['DT', 'NN', 'VBZ', 'JJ', 'CC', 'RB', 'DT', 'IN', 'DT', 'NNS', 'VBP', 'JJ']","[3, 1, 11, 2, 6, 5, 3, 4, 3, 10, 12, 2]"
916,916,916,916,917,1632445:2:0,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,lobster sandwich,FOOD#QUALITY,positive,4.0,20.0,lobster sandwich,FOOD,QUALITY,"['the', 'lobster', 'sandwich', 'is', 'good', 'and', 'the', 'spaghetti', 'with', 'scallops', 'and', 'shrimp', 'is', 'great']","['the', 'lobster', 'sandwich', 'be', 'good', 'and', 'the', 'spaghetti', 'with', 'scallop', 'and', 'shrimp', 'be', 'great']","[2, 247, 318, 3, 20, 4, 2, 1033, 23, 675, 4, 229, 3, 17]","['lobster', 'sandwich']","['DT', 'NN', 'NN', 'VBZ', 'JJ', 'CC', 'DT', 'NNS', 'IN', 'NNS', 'CC', 'NN', 'VBZ', 'JJ']","[3, 1, 1, 11, 2, 6, 3, 10, 4, 10, 6, 1, 11, 2]"
917,917,917,917,918,1632445:2:1,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,spaghetti with Scallops and Shrimp,FOOD#QUALITY,positive,37.0,71.0,spaghetti with Scallops and Shrimp,FOOD,QUALITY,"['the', 'lobster', 'sandwich', 'is', 'good', 'and', 'the', 'spaghetti', 'with', 'scallops', 'and', 'shrimp', 'is', 'great']","['the', 'lobster', 'sandwich', 'be', 'good', 'and', 'the', 'spaghetti', 'with', 'scallop', 'and', 'shrimp', 'be', 'great']","[2, 247, 318, 3, 20, 4, 2, 1033, 23, 675, 4, 229, 3, 17]","['spaghetti', 'with', 'scallop', 'and', 'shrimp']","['DT', 'NN', 'NN', 'VBZ', 'JJ', 'CC', 'DT', 'NNS', 'IN', 'NNS', 'CC', 'NN', 'VBZ', 'JJ']","[3, 1, 1, 11, 2, 6, 3, 10, 4, 10, 6, 1, 11, 2]"
918,918,918,918,919,1632445:3:0,The service is good and ambience is good for a date or group outing.,service,SERVICE#GENERAL,positive,4.0,11.0,service,SERVICE,GENERAL,"['the', 'service', 'is', 'good', 'and', 'ambience', 'is', 'good', 'for', 'a', 'date', 'or', 'group', 'outing']","['the', 'service', 'be', 'good', 'and', 'ambience', 'be', 'good', 'for', 'a', 'date', 'or', 'group', 'out']","[2, 19, 3, 20, 4, 210, 3, 20, 14, 5, 283, 44, 487, 65]",['service'],"['DT', 'NN', 'VBZ', 'JJ', 'CC', 'NN', 'VBZ', 'JJ', 'IN', 'DT', 'NN', 'CC', 'NN', 'NN']","[3, 1, 11, 2, 6, 1, 11, 2, 4, 3, 1, 6, 1, 1]"
919,919,919,919,920,1632445:3:1,The service is good and ambience is good for a date or group outing.,ambience,AMBIENCE#GENERAL,positive,24.0,32.0,ambience,AMBIENCE,GENERAL,"['the', 'service', 'is', 'good', 'and', 'ambience', 'is', 'good', 'for', 'a', 'date', 'or', 'group', 'outing']","['the', 'service', 'be', 'good', 'and', 'ambience', 'be', 'good', 'for', 'a', 'date', 'or', 'group', 'out']","[2, 19, 3, 20, 4, 210, 3, 20, 14, 5, 283, 44, 487, 65]",['ambience'],"['DT', 'NN', 'VBZ', 'JJ', 'CC', 'NN', 'VBZ', 'JJ', 'IN', 'DT', 'NN', 'CC', 'NN', 'NN']","[3, 1, 11, 2, 6, 1, 11, 2, 4, 3, 1, 6, 1, 1]"
920,920,920,920,921,1632445:4:0,The only fallback on this restaurant is the prices.,restaurant,RESTAURANT#PRICES,negative,26.0,36.0,restaurant,RESTAURANT,PRICES,"['the', 'only', 'fallback', 'on', 'this', 'restaurant', 'is', 'the', 'prices']","['the', 'only', 'fallback', 'on', 'this', 'restaurant', 'be', 'the', 'price']","[2, 101, 2201, 28, 21, 36, 3, 2, 32]",['restaurant'],"['DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'VBZ', 'DT', 'NNS']","[3, 2, 1, 4, 3, 1, 11, 3, 10]"
921,921,921,921,922,1632445:5:0,"Even though its good seafood, the prices are too high.",seafood,FOOD#QUALITY,positive,21.0,28.0,seafood,FOOD,QUALITY,"['even', 'though', 'its', 'good', 'seafood', 'the', 'prices', 'are', 'too', 'high']","['even', 'though', 'its', 'good', 'seafood', 'the', 'price', 'be', 'too', 'high']","[71, 141, 168, 20, 393, 2, 32, 3, 68, 355]",['seafood'],"['RB', 'IN', 'PRP$', 'JJ', 'NN', 'DT', 'NNS', 'VBP', 'RB', 'JJ']","[5, 4, 17, 2, 1, 3, 10, 12, 5, 2]"
922,922,922,922,923,1632445:5:1,"Even though its good seafood, the prices are too high.",seafood,FOOD#PRICES,negative,21.0,28.0,seafood,FOOD,PRICES,"['even', 'though', 'its', 'good', 'seafood', 'the', 'prices', 'are', 'too', 'high']","['even', 'though', 'its', 'good', 'seafood', 'the', 'price', 'be', 'too', 'high']","[71, 141, 168, 20, 393, 2, 32, 3, 68, 355]",['seafood'],"['RB', 'IN', 'PRP$', 'JJ', 'NN', 'DT', 'NNS', 'VBP', 'RB', 'JJ']","[5, 4, 17, 2, 1, 3, 10, 12, 5, 2]"
923,923,923,923,924,1632445:6:0,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,lobster sandwich,FOOD#QUALITY,positive,4.0,20.0,lobster sandwich,FOOD,QUALITY,"['the', 'lobster', 'sandwich', 'is', 'and', 'although', 'it', 'was', 'good', 'it', 'was', 'not', 'nearly', 'enough', 'to', 'warrant', 'that', 'price']","['the', 'lobster', 'sandwich', 'be', 'and', 'although', 'it', 'be', 'good', 'it', 'be', 'not', 'nearly', 'enough', 'to', 'warrant', 'that', 'price']","[2, 247, 318, 3, 4, 200, 12, 3, 20, 12, 3, 13, 798, 260, 7, 1256, 24, 32]","['lobster', 'sandwich']","['DT', 'NN', 'NN', 'VBZ', 'CC', 'IN', 'PRP', 'VBD', 'JJ', 'PRP', 'VBD', 'RB', 'RB', 'JJ', 'TO', 'VB', 'DT', 'NN']","[3, 1, 1, 11, 6, 4, 7, 8, 2, 7, 8, 5, 5, 2, 14, 9, 3, 1]"
924,924,924,924,925,1632445:6:1,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,lobster sandwich,FOOD#STYLE_OPTIONS,negative,4.0,20.0,lobster sandwich,FOOD,STYLE_OPTIONS,"['the', 'lobster', 'sandwich', 'is', 'and', 'although', 'it', 'was', 'good', 'it', 'was', 'not', 'nearly', 'enough', 'to', 'warrant', 'that', 'price']","['the', 'lobster', 'sandwich', 'be', 'and', 'although', 'it', 'be', 'good', 'it', 'be', 'not', 'nearly', 'enough', 'to', 'warrant', 'that', 'price']","[2, 247, 318, 3, 4, 200, 12, 3, 20, 12, 3, 13, 798, 260, 7, 1256, 24, 32]","['lobster', 'sandwich']","['DT', 'NN', 'NN', 'VBZ', 'CC', 'IN', 'PRP', 'VBD', 'JJ', 'PRP', 'VBD', 'RB', 'RB', 'JJ', 'TO', 'VB', 'DT', 'NN']","[3, 1, 1, 11, 6, 4, 7, 8, 2, 7, 8, 5, 5, 2, 14, 9, 3, 1]"
925,925,925,925,926,1632445:6:2,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,lobster sandwich,FOOD#PRICES,negative,4.0,20.0,lobster sandwich,FOOD,PRICES,"['the', 'lobster', 'sandwich', 'is', 'and', 'although', 'it', 'was', 'good', 'it', 'was', 'not', 'nearly', 'enough', 'to', 'warrant', 'that', 'price']","['the', 'lobster', 'sandwich', 'be', 'and', 'although', 'it', 'be', 'good', 'it', 'be', 'not', 'nearly', 'enough', 'to', 'warrant', 'that', 'price']","[2, 247, 318, 3, 4, 200, 12, 3, 20, 12, 3, 13, 798, 260, 7, 1256, 24, 32]","['lobster', 'sandwich']","['DT', 'NN', 'NN', 'VBZ', 'CC', 'IN', 'PRP', 'VBD', 'JJ', 'PRP', 'VBD', 'RB', 'RB', 'JJ', 'TO', 'VB', 'DT', 'NN']","[3, 1, 1, 11, 6, 4, 7, 8, 2, 7, 8, 5, 5, 2, 14, 9, 3, 1]"
926,926,926,926,927,1632929:0:0,Went to Village last night for my birthday.,,,,,,,,,"['went', 'to', 'village', 'last', 'night', 'for', 'my', 'birthday']","['go', 'to', 'village', 'last', 'night', 'for', 'my', 'birthday']","[29, 7, 234, 175, 142, 14, 25, 336]",['null'],"['VBD', 'TO', 'NN', 'JJ', 'NN', 'IN', 'PRP$', 'NN']","[8, 14, 1, 2, 1, 4, 17, 1]"
927,927,927,927,928,1632929:1:0,"We picked it randomly, without a recommendation from someone who has been there, so we were not sure what to expect.",,,,,,,,,"['we', 'picked', 'it', 'randomly', 'without', 'a', 'recommendation', 'from', 'someone', 'who', 'has', 'been', 'there', 'so', 'we', 'were', 'not', 'sure', 'what', 'to', 'expect']","['we', 'pick', 'it', 'randomly', 'without', 'a', 'recommendation', 'from', 'someone', 'who', 'have', 'be', 'there', 'so', 'we', 'be', 'not', 'sure', 'what', 'to', 'expect']","[10, 706, 12, 2202, 335, 5, 2203, 60, 334, 131, 8, 3, 38, 31, 10, 3, 13, 223, 76, 7, 194]",['null'],"['PRP', 'VBD', 'PRP', 'RB', 'IN', 'DT', 'NN', 'IN', 'NN', 'WP', 'VBZ', 'VBN', 'RB', 'IN', 'PRP', 'VBD', 'RB', 'JJ', 'WP', 'TO', 'VB']","[7, 8, 7, 5, 4, 3, 1, 4, 1, 25, 11, 13, 5, 4, 7, 8, 5, 2, 25, 14, 9]"
928,928,928,928,929,1632929:2:0,We we are very pleasantly surprised.,,RESTAURANT#GENERAL,positive,0.0,0.0,0,RESTAURANT,GENERAL,"['we', 'we', 'are', 'very', 'pleasantly', 'surprised']","['we', 'we', 'be', 'very', 'pleasantly', 'surprise']","[10, 10, 3, 27, 799, 319]",['null'],"['PRP', 'PRP', 'VBP', 'RB', 'RB', 'VBN']","[7, 7, 12, 5, 5, 13]"
929,929,929,929,930,1632929:3:0,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",food,FOOD#QUALITY,positive,4.0,8.0,food,FOOD,QUALITY,"['the', 'food', 'was', 'delicious', 'i', 'had', 'a', 'halibut', 'special', 'my', 'husband', 'had', 'steak', 'and', 'the', 'service', 'was', 'top', 'notch']","['the', 'food', 'be', 'delicious', 'i', 'have', 'a', 'halibut', 'special', 'my', 'husband', 'have', 'steak', 'and', 'the', 'service', 'be', 'top', 'notch']","[2, 9, 3, 45, 6, 8, 5, 1034, 113, 25, 251, 8, 488, 4, 2, 19, 3, 154, 417]",['food'],"['DT', 'NN', 'VBD', 'JJ', 'FW', 'VBD', 'DT', 'NN', 'JJ', 'PRP$', 'NN', 'VBD', 'NN', 'CC', 'DT', 'NN', 'VBD', 'JJ', 'NN']","[3, 1, 8, 2, 15, 8, 3, 1, 2, 17, 1, 8, 1, 6, 3, 1, 8, 2, 1]"
930,930,930,930,931,1632929:3:1,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",halibut special,FOOD#QUALITY,positive,32.0,47.0,halibut special,FOOD,QUALITY,"['the', 'food', 'was', 'delicious', 'i', 'had', 'a', 'halibut', 'special', 'my', 'husband', 'had', 'steak', 'and', 'the', 'service', 'was', 'top', 'notch']","['the', 'food', 'be', 'delicious', 'i', 'have', 'a', 'halibut', 'special', 'my', 'husband', 'have', 'steak', 'and', 'the', 'service', 'be', 'top', 'notch']","[2, 9, 3, 45, 6, 8, 5, 1034, 113, 25, 251, 8, 488, 4, 2, 19, 3, 154, 417]","['halibut', 'special']","['DT', 'NN', 'VBD', 'JJ', 'FW', 'VBD', 'DT', 'NN', 'JJ', 'PRP$', 'NN', 'VBD', 'NN', 'CC', 'DT', 'NN', 'VBD', 'JJ', 'NN']","[3, 1, 8, 2, 15, 8, 3, 1, 2, 17, 1, 8, 1, 6, 3, 1, 8, 2, 1]"
931,931,931,931,932,1632929:3:2,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",steak,FOOD#QUALITY,positive,64.0,69.0,steak,FOOD,QUALITY,"['the', 'food', 'was', 'delicious', 'i', 'had', 'a', 'halibut', 'special', 'my', 'husband', 'had', 'steak', 'and', 'the', 'service', 'was', 'top', 'notch']","['the', 'food', 'be', 'delicious', 'i', 'have', 'a', 'halibut', 'special', 'my', 'husband', 'have', 'steak', 'and', 'the', 'service', 'be', 'top', 'notch']","[2, 9, 3, 45, 6, 8, 5, 1034, 113, 25, 251, 8, 488, 4, 2, 19, 3, 154, 417]",['steak'],"['DT', 'NN', 'VBD', 'JJ', 'FW', 'VBD', 'DT', 'NN', 'JJ', 'PRP$', 'NN', 'VBD', 'NN', 'CC', 'DT', 'NN', 'VBD', 'JJ', 'NN']","[3, 1, 8, 2, 15, 8, 3, 1, 2, 17, 1, 8, 1, 6, 3, 1, 8, 2, 1]"
932,932,932,932,933,1632929:3:3,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",service,SERVICE#GENERAL,positive,80.0,87.0,service,SERVICE,GENERAL,"['the', 'food', 'was', 'delicious', 'i', 'had', 'a', 'halibut', 'special', 'my', 'husband', 'had', 'steak', 'and', 'the', 'service', 'was', 'top', 'notch']","['the', 'food', 'be', 'delicious', 'i', 'have', 'a', 'halibut', 'special', 'my', 'husband', 'have', 'steak', 'and', 'the', 'service', 'be', 'top', 'notch']","[2, 9, 3, 45, 6, 8, 5, 1034, 113, 25, 251, 8, 488, 4, 2, 19, 3, 154, 417]",['service'],"['DT', 'NN', 'VBD', 'JJ', 'FW', 'VBD', 'DT', 'NN', 'JJ', 'PRP$', 'NN', 'VBD', 'NN', 'CC', 'DT', 'NN', 'VBD', 'JJ', 'NN']","[3, 1, 8, 2, 15, 8, 3, 1, 2, 17, 1, 8, 1, 6, 3, 1, 8, 2, 1]"
933,933,933,933,934,1632929:4:0,"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",waiter,SERVICE#GENERAL,positive,100.0,106.0,waiter,SERVICE,GENERAL,"['when', 'my', 'dessert', 'came', 'there', 'was', 'a', 'candle', 'in', 'it', 'not', 'because', 'anyone', 'asked', 'for', 'one', 'but', 'because', 'the', 'waiter', 'must', 'have', 'seen', 'me', 'opening', 'my', 'birthday', 'card', 'and', 'gift', 'and', 'said', 'he', 'knew', 'it', 'was', 'a', 'special', 'occassion', 'of', 'some', 'sort']","['when', 'my', 'dessert', 'come', 'there', 'be', 'a', 'candle', 'in', 'it', 'not', 'because', 'anyone', 'ask', 'for', 'one', 'but', 'because', 'the', 'waiter', 'must', 'have', 'see', 'me', 'open', 'my', 'birthday', 'card', 'and', 'gift', 'and', 'say', 'he', 'know', 'it', 'be', 'a', 'special', 'occassion', 'of', 'some', 'sort']","[91, 25, 184, 74, 38, 3, 5, 568, 15, 12, 13, 137, 782, 126, 14, 53, 18, 137, 2, 169, 236, 8, 250, 86, 427, 25, 336, 1630, 4, 2204, 4, 100, 173, 162, 12, 3, 5, 113, 1011, 11, 98, 1257]",['waiter'],"['WRB', 'PRP$', 'NN', 'VBD', 'EX', 'VBD', 'DT', 'NN', 'IN', 'PRP', 'RB', 'IN', 'NN', 'VBD', 'IN', 'CD', 'CC', 'IN', 'DT', 'NN', 'MD', 'VB', 'VBN', 'PRP', 'VBG', 'PRP$', 'NN', 'NN', 'CC', 'NN', 'CC', 'VBD', 'PRP', 'VBD', 'PRP', 'VBD', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN']","[26, 17, 1, 8, 27, 8, 3, 1, 4, 7, 5, 4, 1, 8, 4, 22, 6, 4, 3, 1, 19, 9, 13, 7, 18, 17, 1, 1, 6, 1, 6, 8, 7, 8, 7, 8, 3, 2, 1, 4, 3, 1]"
934,934,934,934,935,1632929:5:0,Truly the mark of an attentive waiter.,waiter,SERVICE#GENERAL,positive,31.0,37.0,waiter,SERVICE,GENERAL,"['truly', 'the', 'mark', 'of', 'an', 'attentive', 'waiter']","['truly', 'the', 'mark', 'of', 'an', 'attentive', 'waiter']","[857, 2, 1631, 11, 58, 183, 169]",['waiter'],"['RB', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN']","[5, 3, 1, 4, 3, 2, 1]"
935,935,935,935,936,1632929:6:0,I highly recommend the restaurant based on our experience last night.,restaurant,RESTAURANT#GENERAL,positive,23.0,33.0,restaurant,RESTAURANT,GENERAL,"['i', 'highly', 'recommend', 'the', 'restaurant', 'based', 'on', 'our', 'experience', 'last', 'night']","['i', 'highly', 'recommend', 'the', 'restaurant', 'base', 'on', 'our', 'experience', 'last', 'night']","[6, 149, 81, 2, 36, 2205, 28, 61, 117, 175, 142]",['restaurant'],"['LS', 'RB', 'VB', 'DT', 'NN', 'VBN', 'IN', 'PRP$', 'NN', 'JJ', 'NN']","[16, 5, 9, 3, 1, 13, 4, 17, 1, 2, 1]"
936,936,936,936,937,1642666:0:0,We ate at this Thai place following the reviews but very unhappy with the foods.,foods,FOOD#QUALITY,negative,74.0,79.0,foods,FOOD,QUALITY,"['we', 'ate', 'at', 'this', 'thai', 'place', 'following', 'the', 'reviews', 'but', 'very', 'unhappy', 'with', 'the', 'foods']","['we', 'eat', 'at', 'this', 'thai', 'place', 'follow', 'the', 'review', 'but', 'very', 'unhappy', 'with', 'the', 'foods']","[10, 57, 30, 21, 158, 22, 800, 2, 259, 18, 27, 2206, 23, 2, 1632]",['foods'],"['PRP', 'VBD', 'IN', 'DT', 'JJ', 'NN', 'VBG', 'DT', 'NNS', 'CC', 'RB', 'JJ', 'IN', 'DT', 'NNS']","[7, 8, 4, 3, 2, 1, 18, 3, 10, 6, 5, 2, 4, 3, 10]"
